单品编码,销量(千克),单品名称,分类编码,分类名称
102900005115168,899.837,牛首生菜,1011010101,花叶类
102900005115199,333.485,四川红香椿,1011010101,花叶类
102900005115250,2813.715,西峡花菇(1),1011010801,食用菌
102900005115625,121.02,本地小毛白菜,1011010101,花叶类
102900005115748,718.676,白菜苔,1011010101,花叶类
102900005115762,5102.658,苋菜,1011010101,花叶类
102900005115779,15915.422,云南生菜,1011010101,花叶类
102900005115786,7246.958,竹叶菜,1011010101,花叶类
102900005115793,1709.163,小白菜,1011010101,花叶类
102900005115816,18.428,南瓜尖,1011010101,花叶类
102900005115823,7608.386,上海青,1011010101,花叶类
102900005115854,415.325,萝卜叶,1011010101,花叶类
102900005115861,3840.204,牛首油菜,1011010101,花叶类
102900005115878,4113.244,茼蒿,1011010101,花叶类
102900005115885,941.188,蔡甸藜蒿,1011010101,花叶类
102900005115908,4498.148,菜心,1011010101,花叶类
102900005115946,1567.465,木耳菜,1011010101,花叶类
102900005115960,19196.094,大白菜,1011010101,花叶类
102900005115977,85.048,豌豆尖,1011010101,花叶类
102900005115984,10309.079,云南油麦菜,1011010101,花叶类
102900005116219,439.567,红尖椒,1011010504,辣椒类
102900005116226,1187.429,青尖椒,1011010504,辣椒类
102900005116233,3459.754,红椒(1),1011010504,辣椒类
102900005116257,13608.976,紫茄子(2),1011010501,茄类
102900005116509,3519.011,青茄子(1),1011010501,茄类
102900005116530,11929.1,西峡香菇(1),1011010801,食用菌
102900005116547,4699.9,金针菇(1),1011010801,食用菌
102900005116639,94.567,马齿苋,1011010101,花叶类
102900005116714,27555.945,西兰花,1011010201,花菜类
102900005116790,2918.477,黄心菜(1),1011010101,花叶类
102900005116806,101.125,黑油菜,1011010101,花叶类
102900005116837,2543.49,平菇,1011010801,食用菌
102900005116899,27166.459,净藕(1),1011010402,水生根茎类
102900005116905,1.817,青杭椒(1),1011010504,辣椒类
102900005116912,375.222,姬菇(1),1011010801,食用菌
102900005116943,659.161,红杭椒,1011010504,辣椒类
102900005117056,9707.027,泡泡椒(精品),1011010504,辣椒类
102900005117209,263.192,七彩椒(1),1011010504,辣椒类
102900005117353,22.0,白玉菇(1),1011010801,食用菌
102900005118572,596.697,本地上海青,1011010101,花叶类
102900005118817,5218.388,菠菜,1011010101,花叶类
102900005118824,1179.956,高瓜(1),1011010402,水生根茎类
102900005118831,9002.0,娃娃菜,1011010101,花叶类
102900005119098,628.043,双孢菇,1011010801,食用菌
102900005119104,102.0,蟹味菇(1),1011010801,食用菌
102900005119944,502.504,海鲜菇(1),1011010801,食用菌
102900005119968,128.5,青杭椒(2),1011010504,辣椒类
102900005119975,5161.229,红薯尖,1011010101,花叶类
102900005122654,4962.956,枝江红菜苔,1011010101,花叶类
102900005123880,212.043,灯笼椒(1),1011010504,辣椒类
102900005125808,1447.586,小米椒,1011010504,辣椒类
102900005125815,2405.298,杏鲍菇(1),1011010801,食用菌
102900005128748,1.784,黄花菜,1011010101,花叶类
102900011000175,91.272,快菜,1011010101,花叶类
102900011000328,7794.899,螺丝椒,1011010504,辣椒类
102900011000335,7.658,紫圆茄,1011010501,茄类
102900011000571,675.221,随州泡泡青,1011010101,花叶类
102900011000632,13.251,紫白菜(1),1011010201,花菜类
102900011000861,27.805,红线椒,1011010504,辣椒类
102900011001219,278.612,红灯笼椒(1),1011010504,辣椒类
102900011001561,2095.0,莲蓬(个),1011010402,水生根茎类
102900011001691,126.422,菱角,1011010402,水生根茎类
102900011001806,1073.0,姬菇(包),1011010801,食用菌
102900011001813,2150.0,金针菇(袋)(1),1011010801,食用菌
102900011002414,45.252,田七,1011010101,花叶类
102900011006689,1543.882,东门口小白菜,1011010101,花叶类
102900011006948,732.615,外地茼蒿,1011010101,花叶类
102900011006955,16.337,冰草,1011010101,花叶类
102900011007044,288.0,银耳(朵),1011010801,食用菌
102900011007464,30.172,紫苏,1011010101,花叶类
102900011007471,7.568,薄荷叶,1011010101,花叶类
102900011007495,4.232,蒲公英,1011010101,花叶类
102900011007969,100.69,红莲藕带,1011010402,水生根茎类
102900011008133,14.227,丝瓜尖,1011010101,花叶类
102900011008164,5818.966,奶白菜,1011010101,花叶类
102900011008485,51.735,芥菜,1011010101,花叶类
102900011008492,7.48,大芥兰,1011010101,花叶类
102900011008515,12.936,面条菜,1011010101,花叶类
102900011008522,4689.466,甜白菜,1011010101,花叶类
102900011008577,3.0,猴头菇,1011010801,食用菌
102900011008676,15.887,荠菜,1011010101,花叶类
102900011009246,212.171,鲜木耳(1),1011010801,食用菌
102900011009277,1672.013,荸荠,1011010402,水生根茎类
102900011009444,1167.218,大龙茄子,1011010501,茄类
102900011009772,0.415,水果辣椒(橙色),1011010504,辣椒类
102900011009970,8394.375,青梗散花,1011010201,花菜类
102900011010563,1.215,鸡枞菌,1011010801,食用菌
102900011010891,449.754,野藕(1),1011010402,水生根茎类
102900011011058,1.084,黑牛肝菌,1011010801,食用菌
102900011011546,1266.0,海鲜菇(袋)(1),1011010801,食用菌
102900011011669,14.708,秀珍菇,1011010801,食用菌
102900011012482,90.0,茶树菇(袋),1011010801,食用菌
102900011012871,5.795,黑皮鸡枞菌,1011010801,食用菌
102900011012994,1343.0,杏鲍菇(袋),1011010801,食用菌
102900011013274,2927.0,白玉菇(袋),1011010801,食用菌
102900011015384,3.39,马兰头,1011010101,花叶类
102900011015391,0.943,甘蓝叶,1011010101,花叶类
102900011016701,28181.741,芜湖青椒(1),1011010504,辣椒类
102900011016909,101.379,花茄子,1011010501,茄类
102900011018095,978.0,虫草花(袋),1011010801,食用菌
102900011018132,50.815,野生粉藕,1011010402,水生根茎类
102900011021644,25.0,洪山菜苔,1011010101,花叶类
102900011021675,2.388,赤松茸,1011010801,食用菌
102900011021699,6.602,牛排菇,1011010801,食用菌
102900011021842,6059.0,洪湖莲藕(粉藕),1011010402,水生根茎类
102900011022030,643.0,组合椒系列,1011010504,辣椒类
102900011022764,2497.527,长线茄,1011010501,茄类
102900011022849,1375.887,本地黄心油菜,1011010101,花叶类
102900011022924,30.275,青菜苔,1011010101,花叶类
102900011023075,1.0,活体银耳,1011010801,食用菌
102900011023464,3270.155,小青菜(1),1011010101,花叶类
102900011023976,62.221,净藕(2),1011010402,水生根茎类
102900011024010,21.0,鲜藕带(袋),1011010402,水生根茎类
102900011026502,6.32,鲜粽子叶,1011010101,花叶类
102900011026618,10.512,艾蒿,1011010101,花叶类
102900011026793,10.0,杏鲍菇(250克),1011010801,食用菌
102900011027462,16.829,奶白菜苗,1011010101,花叶类
102900011027479,163.64,小皱皮,1011010504,辣椒类
102900011027615,8.472,菊花油菜,1011010101,花叶类
102900011028407,33.907,余干椒,1011010504,辣椒类
102900011029176,120.249,辣妹子,1011010504,辣椒类
102900011029275,1.754,紫尖椒,1011010504,辣椒类
102900011029299,6.843,紫螺丝椒,1011010504,辣椒类
102900011029305,28.571,水果辣椒,1011010504,辣椒类
102900011029688,2.886,双沟白菜,1011010101,花叶类
102900011030042,313.0,枝江红菜苔(份),1011010101,花叶类
102900011030059,14335.0,云南生菜(份),1011010101,花叶类
102900011030097,8856.0,云南油麦菜(份),1011010101,花叶类
102900011030103,587.0,茼蒿(份),1011010101,花叶类
102900011030110,6348.0,菠菜(份),1011010101,花叶类
102900011030134,2053.0,菜心(份),1011010101,花叶类
102900011030141,3071.0,上海青(份),1011010101,花叶类
102900011030158,296.0,小青菜(2),1011010101,花叶类
102900011030400,3.0,洪山菜薹珍品手提袋,1011010101,花叶类
102900011030417,3.0,洪山菜薹莲藕拼装礼盒,1011010101,花叶类
102900011030561,5.0,赤松茸(盒),1011010801,食用菌
102900011030608,35.0,牛排菇(盒),1011010801,食用菌
102900011030615,7.0,猪肚菇(盒),1011010801,食用菌
102900011030622,4.0,黑牛肝菌(盒),1011010801,食用菌
102900011030639,4.0,黑皮鸡枞菌(盒),1011010801,食用菌
102900011030905,470.0,鱼腥草(份),1011010101,花叶类
102900011030912,1303.0,海鲜菇(份),1011010801,食用菌
102900011030929,741.0,鲜木耳(份),1011010801,食用菌
102900011031100,10847.0,小米椒(份),1011010504,辣椒类
102900011031216,29.0,冰草(盒),1011010101,花叶类
102900011031582,932.0,青尖椒(份),1011010504,辣椒类
102900011031599,102.0,杏鲍菇(份),1011010801,食用菌
102900011031735,18.0,七彩椒(份),1011010504,辣椒类
102900011031742,6.0,灯笼椒(份),1011010504,辣椒类
102900011031759,13.0,红灯笼椒(份),1011010504,辣椒类
102900011031841,10.0,双孢菇(份),1011010801,食用菌
102900011031858,1.0,金针菇(份),1011010801,食用菌
102900011031926,1109.0,虫草花(份),1011010801,食用菌
102900011031995,683.0,姬菇(份),1011010801,食用菌
102900011032022,5178.0,小皱皮(份),1011010504,辣椒类
102900011032114,10.0,荸荠(份),1011010402,水生根茎类
102900011032176,40.0,紫苏(份),1011010101,花叶类
102900011032206,457.0,青杭椒(份),1011010504,辣椒类
102900011032213,708.0,红杭椒(份),1011010504,辣椒类
102900011032220,283.0,水果辣椒(份),1011010504,辣椒类
102900011032237,2307.0,青线椒(份),1011010504,辣椒类
102900011032244,953.0,红尖椒(份),1011010504,辣椒类
102900011032251,8240.0,螺丝椒(份),1011010504,辣椒类
102900011032282,41.0,襄甜红菜苔(袋),1011010101,花叶类
102900011032343,370.209,七彩椒(2),1011010504,辣椒类
102900011032350,76.596,灯笼椒(2),1011010504,辣椒类
102900011032367,214.81,红灯笼椒(2),1011010504,辣椒类
102900011032480,2.224,白蒿,1011010101,花叶类
102900011032589,28.601,鱼腥草,1011010101,花叶类
102900011032619,414.593,西峡香菇(2),1011010801,食用菌
102900011032626,28.535,鲜木耳(2),1011010801,食用菌
102900011032633,51.895,海鲜菇(2),1011010801,食用菌
102900011032640,16.953,姬菇(2),1011010801,食用菌
102900011032732,449.856,高瓜(2),1011010402,水生根茎类
102900011032787,1077.0,竹叶菜(份),1011010101,花叶类
102900011032848,1868.0,姜蒜小米椒组合装(小份),1011010504,辣椒类
102900011033081,24.996,春菜,1011010101,花叶类
102900011033173,9.3,槐花,1011010101,花叶类
102900011033234,727.0,红薯尖(份),1011010101,花叶类
102900011033241,65.0,蔡甸藜蒿(份),1011010101,花叶类
102900011033531,0.682,红珊瑚(粗叶),1011010101,花叶类
102900011033562,0.419,红橡叶,1011010101,花叶类
102900011033586,1.153,绿牛油,1011010101,花叶类
102900011033906,6501.052,保康高山大白菜,1011010101,花叶类
102900011033913,0.615,紫白菜(2),1011010201,花菜类
102900011033920,1883.243,黄心菜(2),1011010101,花叶类
102900011033937,473.315,金针菇(2),1011010801,食用菌
102900011033944,1304.983,杏鲍菇(2),1011010801,食用菌
102900011033968,9.24,西峡花菇(2),1011010801,食用菌
102900011033975,190.522,青茄子(2),1011010501,茄类
102900011033982,297.158,紫茄子(1),1011010501,茄类
102900011033999,4.981000000000001,圆茄子(1),1011010501,茄类
102900011034026,5825.591,枝江青梗散花,1011010201,花菜类
102900011034200,426.0,苋菜(份),1011010101,花叶类
102900011034217,342.0,小白菜(份),1011010101,花叶类
102900011034224,4059.0,小青菜(份),1011010101,花叶类
102900011034231,6935.0,奶白菜(份),1011010101,花叶类
102900011034262,93.0,红椒(份),1011010504,辣椒类
102900011034316,9.381,芝麻苋菜,1011010101,花叶类
102900011034323,6.009,鲜粽叶,1011010101,花叶类
102900011034330,4233.0,双孢菇(盒),1011010801,食用菌
102900011034354,200.0,鲜粽叶(袋)(1),1011010101,花叶类
102900011034439,1258.0,青红杭椒组合装(份),1011010504,辣椒类
102900011034538,3.0,花菇(一人份),1011010801,食用菌
102900011034569,40.0,洪湖莲藕(脆藕),1011010402,水生根茎类
102900011034705,8.0,菌菇火锅套餐(份),1011010801,食用菌
102900011035078,769.634,红椒(2),1011010504,辣椒类
102900011035481,127.0,外地茼蒿(份),1011010101,花叶类
102900011035511,348.8,净藕(3),1011010402,水生根茎类
102900011035740,371.0,蟹味菇与白玉菇双拼(盒),1011010801,食用菌
102900011035764,186.831,龙牙菜,1011010101,花叶类
102900011035771,156.054,黄白菜(1),1011010101,花叶类
102900011035788,379.0,西峡香菇(份) ,1011010801,食用菌
102900011035849,16.538,大白菜秧,1011010101,花叶类
102900011035962,11.398,野藕(2),1011010402,水生根茎类
102900011036068,13.0,菌蔬四宝(份),1011010801,食用菌
102900011036242,45.0,青红尖椒组合装(份),1011010504,辣椒类
102900011036266,3.0,鹿茸菇(盒),1011010801,食用菌
102900011036686,27.0,木耳菜(份),1011010101,花叶类
102900051000463,1047.689,圆茄子(2),1011010501,茄类
102900051000890,0.671,芥兰,1011010101,花叶类
102900051000944,745.554,洪湖藕带,1011010402,水生根茎类
102900051004294,2220.351,青线椒,1011010504,辣椒类
102900051006229,18.614,藕尖,1011010402,水生根茎类
102900051009220,40.726,油菜苔,1011010101,花叶类
102900051009336,39.977,虫草花,1011010801,食用菌
102900051010455,7993.683,黄白菜(2),1011010101,花叶类
102900051010790,27.022,紫贝菜,1011010101,花叶类
106930274220092,400.0,蟹味菇(袋),1011010801,食用菌
106930274620090,709.0,海鲜菇(袋)(2),1011010801,食用菌
106931885000035,7.0,绣球菌,1011010801,食用菌
106931885000356,2.0,绣球菌(袋),1011010801,食用菌
106949711300068,2549.0,金针菇(袋)(3),1011010801,食用菌
106949711300167,3181.0,金针菇(袋)(2),1011010801,食用菌
106949711300259,15602.0,金针菇(盒),1011010801,食用菌
106956146480197,251.0,白玉菇(2),1011010801,食用菌
106956146480203,95.0,蟹味菇(2),1011010801,食用菌
106957634300010,168.0,白玉菇(盒),1011010801,食用菌
106957634300058,81.0,蟹味菇(盒),1011010801,食用菌
106958851400125,2150.0,海鲜菇(袋)(4),1011010801,食用菌
106971533450003,1303.0,海鲜菇(包),1011010801,食用菌
106971533455008,1776.0,海鲜菇(袋)(3),1011010801,食用菌
106971563780002,8.0,鲜粽叶(袋)(2),1011010101,花叶类
106972776821582,128.0,鲜粽叶(袋)(3),1011010101,花叶类
106973223300667,1.0,虫草花(盒)(2),1011010801,食用菌
106973990980123,109.0,和丰阳光海鲜菇(包),1011010801,食用菌
