日期,分类名称,预测值_平均销量(千克),预测值_平均批发价格(元/千克),预测值_平均销售单价(元/千克),小分类编码,小分类名称,平均损耗率(%),需求弹性系数 (β)(%),补货量基准(千克)
2023-07-01,花叶类,7.391307002060031,0.1681669244169543,5.072656205063236,1011010101,花叶类,12.83,-13.272517751482242,8.479186649145383
2023-07-01,花菜类,7.930780577585798,3.0717305576149254,11.6143862970628,1011010201,花菜类,15.51,-2.6811069204345666,9.386649991224758
2023-07-01,水生根茎类,2.0237104112877287,1.1377873424804816,15.933342176417424,1011010402,水生根茎类,13.65,-3.330193209335743,2.343613678387642
2023-07-01,茄类,7.246818686981719,1.4045267739816647,7.9016561275368495,1011010501,茄类,6.68,-1.0133953000991065,7.765557958617358
2023-07-01,辣椒类,7.424488876355363,0.2877923601364898,6.201029660511561,1011010504,辣椒类,9.24,-2.532420935828169,8.180353543802736
2023-07-01,食用菌,4.860557595997273,0.399668768205566,5.567062020884663,1011010801,食用菌,9.45,-5.169579227329942,5.367816229704332
2023-07-02,花叶类,7.637999795613296,0.1691766523533001,5.054545481434718,1011010101,花叶类,12.83,-13.272517751482242,8.762188591962023
2023-07-02,花菜类,10.506749475896676,3.236310394827907,11.648385855192192,1011010201,花菜类,15.51,-2.6811069204345666,12.43549470457649
2023-07-02,水生根茎类,1.843520958722749,1.1798695276990268,15.861342937075902,1011010402,水生根茎类,13.65,-3.330193209335743,2.134940311201794
2023-07-02,茄类,6.456931021679349,1.4143364058837318,7.931915860398431,1011010501,茄类,6.68,-1.0133953000991065,6.919128827346066
2023-07-02,辣椒类,7.55486317374686,0.2837206423731919,6.141936319585779,1011010504,辣椒类,9.24,-2.532420935828169,8.324000852519678
2023-07-02,食用菌,5.170436725687527,0.3584861420229938,5.470359455104293,1011010801,食用菌,9.45,-5.169579227329942,5.710035036651052
2023-07-03,花叶类,6.9523444192127695,0.165812714402598,5.100366482734623,1011010101,花叶类,12.83,-13.272517751482242,7.9756159449498325
2023-07-03,花菜类,9.205793659944456,3.569567154750508,11.783045740064775,1011010201,花菜类,15.51,-2.6811069204345666,10.895719801094161
2023-07-03,水生根茎类,1.7070019159532988,1.2156765634788946,15.935036534563467,1011010402,水生根茎类,13.65,-3.330193209335743,1.976840666998609
2023-07-03,茄类,6.271139215670617,1.4860761068627677,7.923663498726319,1011010501,茄类,6.68,-1.0133953000991065,6.720037736466585
2023-07-03,辣椒类,6.841963652477548,0.2837206423731919,6.174700144529383,1011010504,辣椒类,9.24,-2.532420935828169,7.53852319576636
2023-07-03,食用菌,4.956109800180559,0.3891601328122118,5.486645006635165,1011010801,食用菌,9.45,-5.169579227329942,5.473340475075162
2023-07-04,花叶类,6.185708894146086,0.1669618988664052,5.03773259924665,1011010101,花叶类,12.83,-13.272517751482242,7.096144194271063
2023-07-04,花菜类,9.6748785469839,3.660242224260912,11.639097832902468,1011010201,花菜类,15.51,-2.6811069204345666,11.450915548566575
2023-07-04,水生根茎类,1.3672463240680224,1.2461441783302194,15.67041578021156,1011010402,水生根茎类,13.65,-3.330193209335743,1.58337732955185
2023-07-04,茄类,5.831564490499698,1.5293742144615203,7.883490971153826,1011010501,茄类,6.68,-1.0133953000991065,6.248997525181845
2023-07-04,辣椒类,6.253372713947437,0.2837206423731919,6.145475407654457,1011010504,辣椒类,9.24,-2.532420935828169,6.890009601087965
2023-07-04,食用菌,4.700092446270481,0.3589686068065859,5.431451373158049,1011010801,食用菌,9.45,-5.169579227329942,5.190604578984518
2023-07-05,花叶类,6.597842637525245,0.1661674420474156,5.0618598212866805,1011010101,花叶类,12.83,-13.272517751482242,7.568937292101921
2023-07-05,花菜类,10.08498563455752,3.876697278811792,11.608646486536006,1011010201,花菜类,15.51,-2.6811069204345666,11.93630682276899
2023-07-05,水生根茎类,1.4673814528115472,1.2720685681745914,15.793479378093236,1011010402,水生根茎类,13.65,-3.330193209335743,1.699341578241514
2023-07-05,茄类,5.983858784894327,1.5560884437218565,7.91633321469653,1011010501,茄类,6.68,-1.0133953000991065,6.412193297143514
2023-07-05,辣椒类,6.4043954015209135,0.2837206423731919,6.130963674885828,1011010504,辣椒类,9.24,-2.532420935828169,7.056407449890826
2023-07-05,食用菌,5.011577826986986,0.3774056894288628,5.466631349916942,1011010801,食用菌,9.45,-5.169579227329942,5.534597268897832
2023-07-06,花叶类,6.717185597587559,0.1645524158422656,5.038461054779853,1011010101,花叶类,12.83,-13.272517751482242,7.705845586311298
2023-07-06,花菜类,10.972252102510504,4.145364507122669,11.558819847105676,1011010201,花菜类,15.51,-2.6811069204345666,12.986450588839514
2023-07-06,水生根茎类,1.65140892945366,1.2941272029604958,15.679676565022929,1011010402,水生根茎类,13.65,-3.330193209335743,1.9124596751055705
2023-07-06,茄类,5.718097998001095,1.545968277598558,7.910120548784067,1011010501,茄类,6.68,-1.0133953000991065,6.1274089134173755
2023-07-06,辣椒类,7.017847092529745,0.2837206423731919,6.154512104736908,1011010504,辣椒类,9.24,-2.532420935828169,7.732312794766137
2023-07-06,食用菌,5.202786833639657,0.3662974439976086,5.453119297830392,1011010801,食用菌,9.45,-5.169579227329942,5.745761274036066
2023-07-07,花叶类,6.980922670927949,0.1629108756834718,5.0582036827168535,1011010101,花叶类,12.83,-13.272517751482242,8.008400448466157
2023-07-07,花菜类,9.671009494806311,4.346089628654291,11.624045308926306,1011010201,花菜类,15.51,-2.6811069204345666,11.44633624666388
2023-07-07,水生根茎类,1.7892387073857068,1.3128965306684552,15.691480745609663,1011010402,水生根茎类,13.65,-3.330193209335743,2.0720772523285547
2023-07-07,茄类,5.774474929301992,1.5673285278687232,7.957366940614119,1011010501,茄类,6.68,-1.0133953000991065,6.187821398737668
2023-07-07,辣椒类,6.861832414827571,0.2837206423731919,6.10131695587897,1011010504,辣椒类,9.24,-2.532420935828169,7.560414736478153
2023-07-07,食用菌,5.240951940535384,0.3632181880056542,5.4409659439359706,1011010801,食用菌,9.45,-5.169579227329942,5.787909376626597
2023-07-08,花叶类,7.168437713583484,0.1654519894456727,4.9953994875658845,1011010101,花叶类,12.83,-13.272517751482242,8.223514642174468
2023-07-08,花菜类,10.34200953854903,4.319649596377229,11.636979876599009,1011010201,花菜类,15.51,-2.6811069204345666,12.24051312409638
2023-07-08,水生根茎类,2.043182112515871,1.3288670413563557,15.912090411918664,1011010402,水生根茎类,13.65,-3.330193209335743,2.366163419242468
2023-07-08,茄类,5.560511669582271,1.5478318057465394,7.976877192917914,1011010501,茄类,6.68,-1.0133953000991065,5.9585422948802735
2023-07-08,辣椒类,6.99259560104985,0.2837206423731919,6.087698860210022,1011010504,辣椒类,9.24,-2.532420935828169,7.704490525616847
2023-07-08,食用菌,5.410765803036416,0.3730983298405677,5.465035202992924,1011010801,食用菌,9.45,-5.169579227329942,5.97544539264099
2023-07-09,花叶类,7.126376930362205,0.1670554537225231,5.0363667229444,1011010101,花叶类,12.83,-13.272517751482242,8.17526319876357
2023-07-09,花菜类,10.600595199080528,4.321338203356089,11.77168626390385,1011010201,花菜类,15.51,-2.6811069204345666,12.546567876767106
2023-07-09,水生根茎类,1.932705180998884,1.3424560849066034,15.671091944361274,1011010402,水生根茎类,13.65,-3.330193209335743,2.238222560508262
2023-07-09,茄类,6.360473909103036,1.5908857888071,7.882706654700102,1011010501,茄类,6.68,-1.0133953000991065,6.815767155061119
2023-07-09,辣椒类,7.0951091725435855,0.2837206423731919,6.060289433503627,1011010504,辣椒类,9.24,-2.532420935828169,7.8174406925337
2023-07-09,食用菌,5.120140753281968,0.3534647697374148,5.512320222415827,1011010801,食用菌,9.45,-5.169579227329942,5.654490064364404
2023-07-10,花叶类,6.735701321152539,0.1654887609157915,5.056840549912808,1011010101,花叶类,12.83,-13.272517751482242,7.727086521914121
2023-07-10,花菜类,10.01075158652659,4.573678973345919,11.702401522687612,1011010201,花菜类,15.51,-2.6811069204345666,11.848445480561711
2023-07-10,水生根茎类,1.8005838459901795,1.3540187774353052,15.617707764235009,1011010402,水生根茎类,13.65,-3.330193209335743,2.0852158031154366
2023-07-10,茄类,5.92978202305453,1.5729007139674664,7.894620913064861,1011010501,茄类,6.68,-1.0133953000991065,6.354245631220028
2023-07-10,辣椒类,7.137305091546548,0.2837206423731919,6.064321035825614,1011010504,辣椒类,9.24,-2.532420935828169,7.86393244991907
2023-07-10,食用菌,4.716593787485696,0.3738922912291345,5.456756302047408,1011010801,食用菌,9.45,-5.169579227329942,5.2088280369803375
2023-07-11,花叶类,6.4549346172850095,0.1647444605014923,5.06256238661189,1011010101,花叶类,12.83,-13.272517751482242,7.40499554581279
2023-07-11,花菜类,9.078581129605835,4.805957280432377,11.825878748308096,1011010201,花菜类,15.51,-2.6811069204345666,10.745154609546496
2023-07-11,水生根茎类,1.6097644926827712,1.3638572813755516,15.70912378323288,1011010402,水生根茎类,13.65,-3.330193209335743,1.8642321860831168
2023-07-11,茄类,6.003250155443327,1.6043690759634428,7.910361611521609,1011010501,茄类,6.68,-1.0133953000991065,6.432972734079861
2023-07-11,辣椒类,6.401598816570041,0.2837206423731919,6.0288754691403295,1011010504,辣椒类,9.24,-2.532420935828169,7.053326153118159
2023-07-11,食用菌,4.914066846650993,0.3513621625959359,5.496000412313679,1011010801,食用菌,9.45,-5.169579227329942,5.426909825125337
2023-07-12,花叶类,6.382730913304535,0.1642203025320762,5.02613553256096,1011010101,花叶类,12.83,-13.272517751482242,7.3221646361185435
2023-07-12,花菜类,10.20250148544879,4.71052333829774,11.815061666813678,1011010201,花菜类,15.51,-2.6811069204345666,12.075395295832395
2023-07-12,水生根茎类,1.7573451437916332,1.3722287017468855,15.670837066630076,1011010402,水生根茎类,13.65,-3.330193209335743,2.03514203102679
2023-07-12,茄类,5.001308613103375,1.5465832304137708,7.875242878668294,1011010501,茄类,6.68,-1.0133953000991065,5.359310558404816
2023-07-12,辣椒类,6.620325405256145,0.2837206423731919,6.004821806388458,1011010504,辣椒类,9.24,-2.532420935828169,7.294320631617613
2023-07-12,食用菌,5.151364281621035,0.3678724089278392,5.458395296593079,1011010801,食用菌,9.45,-5.169579227329942,5.688972149774749
2023-07-13,花叶类,6.530253517845771,0.1657044367832365,5.034759346805543,1011010101,花叶类,12.83,-13.272517751482242,7.491400158134416
2023-07-13,花菜类,10.36642784094166,4.700633805121581,11.806428253263393,1011010201,花菜类,15.51,-2.6811069204345666,12.269413943592921
2023-07-13,水生根茎类,1.6671279136982209,1.3793518049604652,15.60481700500347,1011010402,水生根茎类,13.65,-3.330193209335743,1.9306634785156005
2023-07-13,茄类,5.2812353705281465,1.5642763991384363,7.88707645077185,1011010501,茄类,6.68,-1.0133953000991065,5.659274936271053
2023-07-13,辣椒类,6.509222818419788,0.2837206423731919,6.084262772034674,1011010504,辣椒类,9.24,-2.532420935828169,7.171907027787339
2023-07-13,食用菌,5.06380950036496,0.355288750117864,5.5087293897113385,1011010801,食用菌,9.45,-5.169579227329942,5.592279956228559
2023-07-14,花叶类,6.074870457388652,0.1665901127153138,5.036775923710347,1011010101,花叶类,12.83,-13.272517751482242,6.968992150268042
2023-07-14,花菜类,9.24187893909655,4.751431985892448,11.782808972530386,1011010201,花菜类,15.51,-2.6811069204345666,10.938429327845366
2023-07-14,水生根茎类,1.8811348860381127,1.385412735739315,15.719975993940654,1011010402,水生根茎类,13.65,-3.330193209335743,2.17850015754269
2023-07-14,茄类,5.330613142594333,1.5654919501763205,7.885314623904245,1011010501,茄类,6.68,-1.0133953000991065,5.712187250958351
2023-07-14,辣椒类,6.372448415978044,0.2837206423731919,6.083636142179726,1011010504,辣椒类,9.24,-2.532420935828169,7.021208038759415
2023-07-14,食用菌,5.018473979834162,0.3584704204269636,5.470077316464935,1011010801,食用菌,9.45,-5.169579227329942,5.542213119640158
2023-07-15,花叶类,6.594338514190804,0.1638830677899396,5.03724747635488,1011010101,花叶类,12.83,-13.272517751482242,7.564917419055643
2023-07-15,花菜类,9.475897022876527,4.808215519743274,11.689261591350446,1011010201,花菜类,15.51,-2.6811069204345666,11.215406584065011
2023-07-15,水生根茎类,1.999503580638388,1.3905698815512662,15.661697185901495,1011010402,水生根茎类,13.65,-3.330193209335743,2.315580290258701
2023-07-15,茄类,5.311002306589641,1.560496188948988,7.885795105096252,1011010501,茄类,6.68,-1.0133953000991065,5.691172638865882
2023-07-15,辣椒类,6.6147083565052105,0.2837206423731919,6.007709483274163,1011010504,辣椒类,9.24,-2.532420935828169,7.288131728189963
2023-07-15,食用菌,4.9920595971570005,0.3606087764614421,5.437535701939919,1011010801,食用菌,9.45,-5.169579227329942,5.513042073061293
